id,productName
77036,"CPU Intel Core i7-14700KF (Up to 5.6Ghz, 20 nhân 28 luồng, 33MB Cache, 125W) - Socket Intel LGA 1700/RAPTOR LAKE"
78871,"CPU Intel Core i5-14400F (UP TO 4.7GHZ, 10 NHÂN 16 LUỒNG, 20MB CACHE, 65W) - SOCKET INTEL LGA 1700/RAPTOR LAKE"
87411,"CPU AMD Ryzen 7 9800X3D (4.7 GHz Upto 5.2GHz / 104MB / 8 Cores, 16 Threads / 105W / Socket AM5)"
53258,"CPU AMD Athlon 3000G (3.5GHz, 2 nhân 4 luồng , 5MB Cache, 35W) - Socket AMD AM4"
77037,"CPU Intel Core i5-14600KF (Up to 5.3Ghz, 14 NHÂN 20 LUỒNG, 24MB CACHE, 125W) - Socket Intel LGA 1700/RAPTOR LAKE"
78872,"CPU Intel Core i5-14500 (UP TO 5.0GHZ, 14 NHÂN 20 LUỒNG, 24MB CACHE, 65W) - SOCKET INTEL LGA 1700/RAPTOR LAKE"
90022,CPU Intel Core i9-14900K (Box NK)
56282,"CPU AMD Ryzen 5 5600X (3.7 GHz Upto 4.6GHz / 35MB / 6 Cores, 12 Threads / 65W / Socket AM4)"
77610,"CPU Intel Core i5-13400F (Tray, cũ đẹp)"
78869,"CPU Intel Core i3-14100F (UP TO 4.7GHZ, 4 NHÂN 8 LUỒNG, 12MB CACHE, 60W) - SOCKET INTEL LGA 1700/RAPTOR LAKE"
77598,CPU Intel Core i5-12400F (Tray-Không tản nhiệt)
67742,"CPU AMD Ryzen 7 7700X (4.5 GHz Upto 5.4GHz / 40MB / 8 Cores, 16 Threads / 105W / Socket AM5)"
90368,"CPU Intel Core i3-12100F (Tray, Cũ đẹp)"
86961,"CPU Intel Core Ultra 9 285K (UP TO 5.5Ghz, 24 NHÂN 24 LUỒNG, 36MB CACHE, 125W) - Socket Intel LGA 1851/ARROW LAKE"
86960,"CPU Intel Core Ultra 7 265KF (UP TO 5.5Ghz, 20 NHÂN 20 LUỒNG, 30MB CACHE, 125W) - Socket Intel LGA 1851/ARROW LAKE"
90024,CPU Intel Core i7-12700 - Cũ đẹp (Full box)
